Company,CompanyLocation,Year,BeanOrigin,Continent,CocoaPercent,CocoaBin,IngredientCount,IngredientInitials,Rating
Bonnat,France,2009,Peru,South America,75.0,70-80%,3,"B,S,C",2.75
Bonnat,France,2009,Ivory Coast,Africa,75.0,70-80%,3,"B,S,C",3.0
Bonnat,France,2009,Mexico,North America,75.0,70-80%,3,"B,S,C",3.0
Bonnat,France,2009,Mexico,North America,75.0,70-80%,3,"B,S,C",3.0
Bonnat,France,2011,Jamaica,North America,75.0,70-80%,3,"B,S,C",3.25
Bonnat,France,2011,Cuba,North America,75.0,70-80%,3,"B,S,C",3.5
Bonnat,France,2011,Peru,South America,75.0,70-80%,3,"B,S,C",3.5
Bonnat,France,2011,Peru,South America,75.0,70-80%,3,"B,S,C",3.5
Bonnat,France,2011,Brazil,South America,75.0,70-80%,3,"B,S,C",3.5
Bonnat,France,2011,Brazil,South America,75.0,70-80%,3,"B,S,C",3.75
Bonnat,France,2011,Haiti,North America,75.0,70-80%,3,"B,S,C",4.0
Bonnat,France,2011,Madagascar,Africa,75.0,70-80%,3,"B,S,C",4.0
Bonnat,France,2013,Gabon,Africa,75.0,70-80%,3,"B,S,C",3.25
Bonnat,France,2013,Brazil,South America,75.0,70-80%,3,"B,S,C",3.5
Bonnat,France,2014,Dominican Republic,North America,75.0,70-80%,3,"B,S,C",3.25
Bonnat,France,2014,Blend,Other,65.0,60-70%,3,"B,S,C",3.75
Bonnat,France,2014,Brazil,South America,75.0,70-80%,3,"B,S,C",4.0
Bonnat,France,2016,Mexico,North America,75.0,70-80%,3,"B,S,C",3.5
Bonnat,France,2018,Peru,South America,75.0,70-80%,3,"B,S,C",4.0
Bonnat,France,2018,Blend,Other,75.0,70-80%,3,"B,S,C",4.0
Bonnat,France,2021,Nicaragua,North America,75.0,70-80%,3,"B,S,C",3.75
Bouga Cacao (Tulicorp),Ecuador,2009,Ecuador,South America,77.0,70-80%,2,"B,S",3.25
Brasstown,U.S.A.,2018,Ecuador,South America,75.0,70-80%,3,"B,S,C",3.5
Brasstown,U.S.A.,2018,Peru,South America,70.0,60-70%,3,"B,S,C",3.75
Brasstown,U.S.A.,2018,Bolivia,South America,70.0,60-70%,3,"B,S,C",4.0
Brasstown,U.S.A.,2021,Tanzania,Africa,62.0,60-70%,3,"B,S,C",3.0
Brasstown aka It's Chocolate,U.S.A.,2013,Dominican Republic,North America,72.0,70-80%,5,"B,S,C,V,L",3.0
Brasstown aka It's Chocolate,U.S.A.,2013,Ecuador,South America,70.0,60-70%,5,"B,S,C,V,L",3.25
Brasstown aka It's Chocolate,U.S.A.,2013,Ghana,Africa,75.0,70-80%,5,"B,S,C,V,L",3.5
Brasstown aka It's Chocolate,U.S.A.,2013,Venezuela,South America,85.0,80-90%,5,"B,S,C,V,L",3.5
Brasstown aka It's Chocolate,U.S.A.,2014,Belize,North America,70.0,60-70%,3,"B,S,C",3.75
Brasstown aka It's Chocolate,U.S.A.,2014,Venezuela,South America,70.0,60-70%,3,"B,S,C",4.0
Brasstown aka It's Chocolate,U.S.A.,2015,Dominican Republic,North America,68.0,60-70%,3,"B,S,C",3.75
Brasstown aka It's Chocolate,U.S.A.,2016,Venezuela,South America,70.0,60-70%,3,"B,S,C",3.5
Brasstown aka It's Chocolate,U.S.A.,2016,Nicaragua,North America,70.0,60-70%,3,"B,S,C",3.75
Brasstown aka It's Chocolate,U.S.A.,2017,Dominican Republic,North America,70.0,60-70%,3,"B,S,C",3.25
Brasstown aka It's Chocolate,U.S.A.,2017,Ecuador,South America,75.0,70-80%,3,"B,S,C",3.75
Brazen,U.S.A.,2015,Madagascar,Africa,80.0,70-80%,3,"B,S,C",2.75
Brazen,U.S.A.,2015,Dominican Republic,North America,60.0,50-60%,3,"B,S,C",3.0
Brazen,U.S.A.,2015,Dominican Republic,North America,80.0,70-80%,3,"B,S,C",3.25
Brazen,U.S.A.,2015,Belize,North America,80.0,70-80%,3,"B,S,C",3.25
Brazen,U.S.A.,2015,Madagascar,Africa,60.0,50-60%,3,"B,S,C",3.25
Brazen,U.S.A.,2015,Guatemala,North America,70.0,60-70%,2,"B,S",3.5
Breeze Mill,U.S.A.,2013,Jamaica,North America,70.0,60-70%,4,"B,S,C,V",3.0
Bright,Australia,2014,Trinidad,North America,68.0,60-70%,3,"B,S,C",2.75
Bright,Australia,2014,Madagascar,Africa,72.0,70-80%,3,"B,S,C",3.0
Bright,Australia,2014,Dominican Republic,North America,70.0,60-70%,3,"B,S,C",3.5
Bright,Australia,2014,Ecuador,South America,72.0,70-80%,3,"B,S,C",3.5
Britarev,Russia,2015,Ecuador,South America,70.0,60-70%,2,"B,S",3.25
Bronx Grrl Chocolate,U.S.A.,2013,Dominican Republic,North America,68.0,60-70%,3,"B,S,C",2.75
Bullion,U.K.,2018,Bolivia,South America,70.0,60-70%,3,"B,S,C",2.5
Bullion,U.K.,2018,Guatemala,North America,70.0,60-70%,3,"B,S,C",3.0
Burnt Fork Bend,U.S.A.,2014,Ecuador,South America,60.0,50-60%,3,"B,S,C",2.5
Burnt Fork Bend,U.S.A.,2014,Trinidad,North America,72.0,70-80%,3,"B,S,C",3.25
Burnt Fork Bend,U.S.A.,2014,Belize,North America,72.0,70-80%,3,"B,S,C",3.25
Burnt Fork Bend,U.S.A.,2014,Blend,Other,72.0,70-80%,3,"B,S,C",3.25
Burnt Fork Bend,U.S.A.,2014,Ecuador,South America,72.0,70-80%,3,"B,S,C",3.5
By Cacao,South Korea,2019,Ecuador,South America,70.0,60-70%,2,"B,S",3.0
Cacai Cacao,Taiwan,2019,Taiwan,Asia,70.0,60-70%,2,"B,S*",3.25
Cacai Cacao,Taiwan,2019,Philippines,Asia,70.0,60-70%,2,"B,S*",3.5
Cacao 70,Canada,2019,Guatemala,North America,70.0,60-70%,4,"B,S,C,L",3.0
Cacao 70,Canada,2019,Guatemala,North America,70.0,60-70%,4,"B,S,C,L",3.5
Cacao 70,Canada,2019,Bolivia,South America,70.0,60-70%,4,"B,S,C,L",3.75
Cacao Arabuco,Puerto Rico,2015,Puerto Rico,North America,70.0,60-70%,2,"B,S",2.5
Cacao Atlanta,U.S.A.,2010,Venezuela,South America,75.0,70-80%,2,"B,S",2.25
Cacao Atlanta,U.S.A.,2010,Dominican Republic,North America,75.0,70-80%,2,"B,S",2.5
Cacao Atlanta,U.S.A.,2010,Dominican Republic,North America,75.0,70-80%,2,"B,S",2.75
Cacao Atlanta,U.S.A.,2014,Peru,South America,75.0,70-80%,2,"B,S",2.5
Cacao Barry,France,2007,Venezuela,South America,72.0,70-80%,5,"B,S,C,V,L",2.0
Cacao Barry,France,2007,Mexico,North America,66.0,60-70%,5,"B,S,C,V,L",3.0
Cacao Barry,France,2008,Tanzania,Africa,75.0,70-80%,5,"B,S,C,V,L",2.0
Cacao Barry,France,2010,Dominican Republic,North America,70.0,60-70%,5,"B,S,C,V,L",3.0
Cacao Barry,France,2016,Haiti,North America,65.0,60-70%,5,"B,S,C,V,L",3.5
Cacao Betulia,Switzerland,2018,Colombia,South America,72.0,70-80%,2,"B,S",2.5
Cacao Betulia,Switzerland,2018,Colombia,South America,72.0,70-80%,2,"B,S",3.0
Cacao Betulia,Switzerland,2018,Colombia,South America,72.0,70-80%,2,"B,S",3.75
Cacao de Origen,Venezuela,2014,Venezuela,South America,75.0,70-80%,2,"B,S",2.5
Cacao de Origen,Venezuela,2014,Venezuela,South America,74.0,70-80%,2,"B,S",3.25
Cacao de Origen,Venezuela,2014,Venezuela,South America,75.0,70-80%,2,"B,S",3.5
Cacao de Origen,Venezuela,2014,Venezuela,South America,70.0,60-70%,2,"B,S",3.75
Cacao de Origen,Venezuela,2015,Venezuela,South America,74.0,70-80%,2,"B,S",3.25
Cacao de Origen,Venezuela,2015,Venezuela,South America,75.0,70-80%,2,"B,S",3.25
Cacao de Origen,Venezuela,2015,Venezuela,South America,77.0,70-80%,2,"B,S",3.5
Cacao de Origen,Venezuela,2018,Venezuela,South America,75.0,70-80%,2,"B,S",2.75
Cacao de Origen,Venezuela,2019,Venezuela,South America,75.0,70-80%,2,"B,S",2.5
Cacao de Origen,Venezuela,2019,Venezuela,South America,70.0,60-70%,2,"B,S",3.0
Cacao Gonzales,U.S.A.,2018,Venezuela,South America,70.0,60-70%,2,"B,S",3.0
Cacao Hunters,Colombia,2014,Colombia,South America,69.0,60-70%,4,"B,S,C,L",2.75
Cacao Hunters,Colombia,2014,Colombia,South America,70.0,60-70%,4,"B,S,C,L",3.25
Cacao Hunters,Colombia,2014,Colombia,South America,64.0,60-70%,4,"B,S,C,L",3.5
Cacao Hunters,Colombia,2014,Colombia,South America,70.0,60-70%,4,"B,S,C,L",3.5
Cacao Hunters,Colombia,2015,Colombia,South America,72.0,70-80%,3,"B,S,C",3.75
Cacao Hunters,Colombia,2016,Colombia,South America,71.0,70-80%,3,"B,S,C",3.75
Cacao Hunters,Colombia,2016,Colombia,South America,74.0,70-80%,3,"B,S,C",3.75
Cacao Market,U.S.A.,2016,Honduras,North America,70.0,60-70%,4,"B,S,C,L",3.5
Cacao Prieto,U.S.A.,2011,Dominican Republic,North America,72.0,70-80%,2,"B,S",3.0
Cacao Prieto,U.S.A.,2011,Dominican Republic,North America,65.0,60-70%,2,"B,S",3.25
Cacao Prieto,U.S.A.,2011,Dominican Republic,North America,66.0,60-70%,2,"B,S",3.75
Cacao Prieto,U.S.A.,2012,Dominican Republic,North America,72.0,70-80%,2,"B,S",3.75
Cacao Sampaka,Spain,2009,Mexico,North America,70.0,60-70%,4,"B,S,C,L",4.0
Cacao Sampaka,Spain,2009,Mexico,North America,70.0,60-70%,4,"B,S,C,L",4.0
Cacao Sampaka,Spain,2010,Grenada,North America,71.0,70-80%,4,"B,S,C,L",3.25
Cacao Sampaka,Spain,2010,Madagascar,Africa,71.0,70-80%,4,"B,S,C,L",3.5
Cacao Sampaka,Spain,2010,Venezuela,South America,71.0,70-80%,4,"B,S,C,L",3.5
Cacao Sampaka,Spain,2010,Venezuela,South America,77.0,70-80%,4,"B,S,C,L",3.5
Cacao Sampaka,Spain,2010,Ecuador,South America,71.0,70-80%,4,"B,S,C,L",3.75
Cacao Sampaka,Spain,2010,Papua New Guinea,Oceania,71.0,70-80%,4,"B,S,C,L",4.0
Cacao Sampaka,Spain,2016,Congo,Africa,70.0,60-70%,4,"B,S,C,L",3.5
Cacao Santa Fe (Art of Chocolate),U.S.A.,2020,Dominican Republic,North America,72.0,70-80%,4,"B,S,C,V",2.75
Cacao Santa Fe (Art of Chocolate),U.S.A.,2020,Peru,South America,72.0,70-80%,4,"B,S,C,V",2.75
Cacao Santa Fe (Art of Chocolate),U.S.A.,2020,Ecuador,South America,72.0,70-80%,4,"B,S,C,V",3.0
Cacao Store,Japan,2015,Madagascar,Africa,70.0,60-70%,2,"B,S",3.0
Cacao Store,Japan,2015,Peru,South America,70.0,60-70%,2,"B,S",3.25
Cacao Store,Japan,2015,Vietnam,Asia,70.0,60-70%,2,"B,S",3.5
Cacaosuyo,Peru,2021,Peru,South America,70.0,60-70%,2,"B,S",3.5
Cacaosuyo,Peru,2021,Peru,South America,70.0,60-70%,2,"B,S",3.5
Cacaosuyo,Peru,2021,Peru,South America,80.0,70-80%,2,"B,S",3.5
Cacaosuyo,Peru,2021,Peru,South America,70.0,60-70%,2,"B,S",4.0
Cacaoyere (Ecuatoriana),Ecuador,2008,Ecuador,South America,91.0,90-100%,4,"B,S,C,L",1.5
Cacaoyere (Ecuatoriana),Ecuador,2008,Ecuador,South America,82.0,80-90%,4,"B,S,C,L",2.5
Cacaoyere (Ecuatoriana),Ecuador,2008,Ecuador,South America,63.0,60-70%,4,"B,S,C,L",3.5
Cacaoyere (Ecuatoriana),Ecuador,2008,Ecuador,South America,71.0,70-80%,4,"B,S,C,L",3.5
C-Amaro,Italy,2011,Sao Tome,Africa,78.0,70-80%,2,"B,S",2.25
C-Amaro,Italy,2011,Trinidad,North America,70.0,60-70%,2,"B,S",2.5
C-Amaro,Italy,2012,Venezuela,South America,80.0,70-80%,2,"B,S",3.0
C-Amaro,Italy,2013,Ecuador,South America,100.0,90-100%,1,B,3.5
C-Amaro,Italy,2014,Cuba,North America,75.0,70-80%,2,"B,S",2.5
C-Amaro,Italy,2014,Dominican Republic,North America,72.0,70-80%,2,"B,S",3.0
C-Amaro,Italy,2014,Blend,Other,70.0,60-70%,2,"B,S",3.5
Cao,U.S.A.,2016,Venezuela,South America,75.0,70-80%,3,"B,S,C",2.5
Cao,U.S.A.,2016,Tanzania,Africa,73.0,70-80%,3,"B,S,C",2.75
Cao,U.S.A.,2016,Venezuela,South America,70.0,60-70%,3,"B,S,C",3.0
Cao,U.S.A.,2016,Bolivia,South America,75.0,70-80%,3,"B,S,C",3.0
Cao,U.S.A.,2016,Brazil,South America,70.0,60-70%,3,"B,S,C",3.25
Caofiori,Colombia,2021,Colombia,South America,70.0,60-70%,4,"B,S,C,L",3.25
Caofiori,Colombia,2021,Colombia,South America,70.0,60-70%,4,"B,S,C,L",3.25
Caofiori,Colombia,2021,Colombia,South America,70.0,60-70%,4,"B,S,C,L",3.5
Caofiori,Colombia,2021,Colombia,South America,70.0,60-70%,4,"B,S,C,L",3.75
Caoni (Tulicorp),Ecuador,2008,Ecuador,South America,77.0,70-80%,4,"B,S,C,L",2.0
Caoni (Tulicorp),Ecuador,2008,Ecuador,South America,77.0,70-80%,4,"B,S,C,L",2.5
Caoni (Tulicorp),Ecuador,2008,Ecuador,South America,77.0,70-80%,4,"B,S,C,L",2.75
Caoni (Tulicorp),Ecuador,2008,Ecuador,South America,55.0,50-60%,4,"B,S,C,L",3.0
Caoni (Tulicorp),Ecuador,2008,Ecuador,South America,55.0,50-60%,4,"B,S,C,L",3.25
Caoni (Tulicorp),Ecuador,2008,Ecuador,South America,55.0,50-60%,4,"B,S,C,L",3.5
Captain Pembleton,New Zealand,2014,Papua New Guinea,Oceania,70.0,60-70%,3,"B,S,C",3.5
Captain Pembleton,New Zealand,2014,Papua New Guinea,Oceania,70.0,60-70%,3,"B,S,C",3.75
CAR Artisan,U.S.A.,2021,Nicaragua,North America,70.0,60-70%,3,"B,S,C",3.0
CAR Artisan,U.S.A.,2021,Tanzania,Africa,70.0,60-70%,3,"B,S,C",3.25
CAR Artisan,U.S.A.,2021,Peru,South America,70.0,60-70%,3,"B,S,C",3.25
CAR Artisan,U.S.A.,2021,Mexico,North America,70.0,60-70%,3,"B,S,C",3.25
Caribeans,Costa Rica,2012,Costa Rica,North America,80.0,70-80%,2,"B,S",2.75
Caribeans,Costa Rica,2012,Costa Rica,North America,72.0,70-80%,2,"B,S",3.0
Caribeans,Costa Rica,2015,Costa Rica,North America,72.0,70-80%,2,"B,S",3.25
Caribeans,Costa Rica,2015,Guatemala,North America,72.0,70-80%,3,"B,S,C",3.5
Caribeans,Costa Rica,2015,Costa Rica,North America,72.0,70-80%,2,"B,S",3.5
Carlotta Chocolat,Colombia,2016,Colombia,South America,65.0,60-70%,3,"B,S,C",3.0
Carlotta Chocolat,Colombia,2016,Colombia,South America,65.0,60-70%,3,"B,S,C",3.25
Carlotta Chocolat,Colombia,2016,Colombia,South America,65.0,60-70%,3,"B,S,C",3.25
Carlotta Chocolat,Colombia,2016,Colombia,South America,65.0,60-70%,3,"B,S,C",3.5
Carlotta Chocolat,Colombia,2016,Colombia,South America,65.0,60-70%,3,"B,S,C",3.5
Casa,U.S.A.,2018,Blend,Other,75.0,70-80%,2,"B,S",2.0
Casa Lasevicius,Brazil,2019,Brazil,South America,71.0,70-80%,2,"B,S",3.0
Casa Lasevicius,Brazil,2019,Brazil,South America,65.0,60-70%,2,"B,S",3.25
Castronovo,U.S.A.,2013,Peru,South America,70.0,60-70%,3,"B,S,C",2.5
Castronovo,U.S.A.,2013,Peru,South America,70.0,60-70%,3,"B,S,C",2.75
Castronovo,U.S.A.,2013,Bolivia,South America,70.0,60-70%,3,"B,S,C",3.0
Castronovo,U.S.A.,2013,Venezuela,South America,72.0,70-80%,3,"B,S,C",3.0
Castronovo,U.S.A.,2013,Venezuela,South America,70.0,60-70%,3,"B,S,C",3.25
Castronovo,U.S.A.,2013,Nicaragua,North America,72.0,70-80%,3,"B,S,C",3.25
Castronovo,U.S.A.,2013,Dominican Republic,North America,73.0,70-80%,2,"B,S",3.5
Castronovo,U.S.A.,2014,Dominican Republic,North America,70.0,60-70%,3,"B,S,C",2.75
Castronovo,U.S.A.,2014,Colombia,South America,72.0,70-80%,3,"B,S,C",3.5
Castronovo,U.S.A.,2014,Colombia,South America,76.0,70-80%,3,"B,S,C",3.5
Castronovo,U.S.A.,2015,Honduras,North America,72.0,70-80%,3,"B,S,C",3.5
Castronovo,U.S.A.,2015,Venezuela,South America,72.0,70-80%,3,"B,S,C",3.5
Castronovo,U.S.A.,2015,Dominican Republic,North America,70.0,60-70%,3,"B,S,C",3.75
Castronovo,U.S.A.,2016,Belize,North America,72.0,70-80%,3,"B,S,C",4.0
Castronovo,U.S.A.,2017,Venezuela,South America,70.0,60-70%,2,"B,S",3.25
Castronovo,U.S.A.,2019,Puerto Rico,North America,70.0,60-70%,3,"B,S,C",3.5
Castronovo,U.S.A.,2019,Mexico,North America,70.0,60-70%,3,"B,S,C",3.75
Castronovo,U.S.A.,2021,Peru,South America,70.0,60-70%,3,"B,S,C",4.0
Castronovo,U.S.A.,2021,Venezuela,South America,72.0,70-80%,3,"B,S,C",4.0
Cello,U.S.A.,2014,Ecuador,South America,70.0,60-70%,3,"B,S,C",2.5
Cello,U.S.A.,2014,Peru,South America,70.0,60-70%,3,"B,S,C",2.75
Cello,U.S.A.,2014,Venezuela,South America,70.0,60-70%,3,"B,S,C",2.75
Cello,U.S.A.,2014,Bolivia,South America,70.0,60-70%,3,"B,S,C",3.0
Chaleur B,Canada,2014,Uganda,Africa,70.0,60-70%,3,"B,S,C",2.75
Chaleur B,Canada,2021,Madagascar,Africa,70.0,60-70%,3,"B,S,C",3.0
Chaleur B,Canada,2021,Belize,North America,70.0,60-70%,3,"B,S,C",3.0
Chaleur B,Canada,2021,Peru,South America,72.0,70-80%,3,"B,S,C",3.25
Chapon,France,2017,Bolivia,South America,74.0,70-80%,2,"B,S",3.0
Chapon,France,2018,Venezuela,South America,68.0,60-70%,3,"B,S,C",3.5
Charm School,U.S.A.,2016,Belize,North America,70.0,60-70%,3,"B,S,C",3.25
Chchukululu (Tulicorp),Ecuador,2008,Ecuador,South America,75.0,70-80%,3,"B,S,C",3.0
Chchukululu (Tulicorp),Ecuador,2010,Ecuador,South America,55.0,50-60%,3,"B,S,C",2.75
Chequessett,U.S.A.,2014,Costa Rica,North America,70.0,60-70%,3,"B,S,C",3.5
Chequessett,U.S.A.,2018,Peru,South America,72.0,70-80%,3,"B,S,C",3.0
Chequessett,U.S.A.,2019,Ecuador,South America,72.0,70-80%,3,"B,S,C",3.5
Chequessett,U.S.A.,2021,Colombia,South America,83.0,80-90%,3,"B,S,C",3.25
Chequessett,U.S.A.,2021,Dominican Republic,North America,69.0,60-70%,3,"B,S,C",3.25
Chocablog,U.K.,2015,Ecuador,South America,70.0,60-70%,3,"B,S,C",3.25
Choco Del Sol,Germany,2014,Belize,North America,75.0,70-80%,2,"B,S",3.0
Choco Del Sol,Germany,2014,Belize,North America,82.0,80-90%,2,"B,S",3.25
Choco Dong,South Korea,2015,Vietnam,Asia,70.0,60-70%,2,"B,S",2.75
Choco Dong,South Korea,2015,Malaysia,Asia,70.0,60-70%,2,"B,S",3.5
Chococard (Lapos),Hungary,2019,Nicaragua,North America,72.0,70-80%,3,"B,S,C",2.5
Chococard (Lapos),Hungary,2019,Dominican Republic,North America,71.0,70-80%,3,"B,S,C",3.25
Chocolarder,U.K.,2015,Peru,South America,65.0,60-70%,2,"B,S",2.5
Chocolarder,U.K.,2015,Dominican Republic,North America,80.0,70-80%,2,"B,S",2.5
Chocolarder,U.K.,2015,Peru,South America,65.0,60-70%,2,"B,S",2.75
Chocolarder,U.K.,2019,Madagascar,Africa,74.0,70-80%,2,"B,S",3.0
Chocola'te,U.S.A.,2011,Madagascar,Africa,70.0,60-70%,2,"B,S",3.75
Chocola'te,U.S.A.,2011,Venezuela,South America,68.0,60-70%,2,"B,S",3.75
Chocolate Alchemist-Philly,U.S.A.,2016,Peru,South America,90.0,80-90%,2,"B,S*",2.5
Chocolate Alchemist-Philly,U.S.A.,2016,Blend,Other,80.0,70-80%,2,"B,S*",2.5
Chocolate Con Amor,U.S.A.,2016,Bolivia,South America,70.0,60-70%,2,"B,S",2.5
Chocolate Con Amor,U.S.A.,2016,Uganda,Africa,70.0,60-70%,2,"B,S",2.75
Chocolate Con Amor,U.S.A.,2016,Nicaragua,North America,80.0,70-80%,2,"B,S",2.75
Chocolate Con Amor,U.S.A.,2016,Dominican Republic,North America,60.0,50-60%,2,"B,S",3.0
Chocolate Con Amor,U.S.A.,2016,Dominican Republic,North America,75.0,70-80%,2,"B,S",3.0
Chocolate Con Amor,U.S.A.,2016,Venezuela,South America,80.0,70-80%,2,"B,S",3.0
Chocolate Con Amor,U.S.A.,2016,Ecuador,South America,70.0,60-70%,2,"B,S",3.25
Chocolate Conspiracy,U.S.A.,2014,Peru,South America,74.0,70-80%,3,"B,S*,C",2.75
Chocolate Makers,Amsterdam,2015,Dominican Republic,North America,75.0,70-80%,3,"B,S,C",3.25
Chocolate Makers,Amsterdam,2015,Congo,Africa,68.0,60-70%,3,"B,S,C",3.5
Chocolate Makers,Amsterdam,2015,Peru,South America,80.0,70-80%,3,"B,S,C",3.75
Chocolate Tree,Scotland,2012,Ecuador,South America,82.0,80-90%,3,"B,S,C",2.5
Chocolate Tree,Scotland,2012,Peru,South America,68.0,60-70%,3,"B,S,C",2.75
Chocolate Tree,Scotland,2012,Madagascar,Africa,72.0,70-80%,3,"B,S,C",3.25
Chocolate Tree,Scotland,2013,Peru,South America,70.0,60-70%,2,"B,S",3.75
Chocolate Tree,Scotland,2015,Peru,South America,69.0,60-70%,3,"B,S,C",3.75
Chocolate Tree,Scotland,2015,Venezuela,South America,80.0,70-80%,2,"B,S",3.75
Chocolate Tree,Scotland,2021,Venezuela,South America,70.0,60-70%,3,"B,S,C",2.75
Chocolates by Josh (Box Chocolate),U.S.A.,2018,Dominican Republic,North America,72.0,70-80%,3,"B,S,C",3.25
Chocolatoa,Belgium,2019,India,Asia,70.0,60-70%,3,"B,S,C",3.0
Chocolats Privilege,Canada,2014,Mexico,North America,70.0,60-70%,4,"B,S,C,V",2.5
Chocolibrium,U.S.A.,2018,India,Asia,63.0,60-70%,3,"B,S,C",2.5
Chocolibrium,U.S.A.,2018,Guatemala,North America,76.0,70-80%,2,"B,S",2.75
Chocolibrium,U.S.A.,2018,Peru,South America,70.0,60-70%,2,"B,S",2.75
Chocosol,Canada,2016,Mexico,North America,75.0,70-80%,3,"B,S,C",3.25
Chocotenango,U.S.A.,2021,Guatemala,North America,70.0,60-70%,2,"B,S",3.25
Chocotenango,U.S.A.,2021,Dominican Republic,North America,73.0,70-80%,2,"B,S",3.25
Chocotenango,U.S.A.,2021,Belize,North America,70.0,60-70%,2,"B,S",3.5
Chocovic,Spain,2007,Ecuador,South America,71.0,70-80%,4,"B,S,C,L",2.5
Chocovic,Spain,2007,Grenada,North America,71.0,70-80%,4,"B,S,C,L",2.5
Chocovic,Spain,2007,Blend,Other,70.0,60-70%,4,"B,S,C,L",3.0
Chocovic,Spain,2008,Venezuela,South America,71.0,70-80%,4,"B,S,C,L",3.5
Chocovic,Spain,2009,Blend,Other,60.0,50-60%,4,"B,S,C,L",3.25
Chocovic,Spain,2009,Blend,Other,75.0,70-80%,4,"B,S,C,L",3.25
Chocovic,Spain,2010,Mexico,North America,71.0,70-80%,4,"B,S,C,L",3.25
Chocovic,Spain,2010,Madagascar,Africa,71.0,70-80%,4,"B,S,C,L",3.5
Chocovivo,U.S.A.,2015,Mexico,North America,65.0,60-70%,2,"B,S",2.5
Chocovivo,U.S.A.,2015,Mexico,North America,75.0,70-80%,2,"B,S",2.5
Choklat,Canada,2009,Venezuela,South America,80.0,70-80%,4,"B,S,C,V",2.5
Choklat,Canada,2009,Mexico,North America,70.0,60-70%,4,"B,S,C,V",2.75
Choklat,Canada,2009,Brazil,South America,70.0,60-70%,4,"B,S,C,V",3.0
Choklat,Canada,2009,Brazil,South America,80.0,70-80%,4,"B,S,C,V",3.0
Choklat,Canada,2009,Venezuela,South America,70.0,60-70%,4,"B,S,C,V",3.0
Chokola,U.S.A.,2020,Guatemala,North America,70.0,60-70%,2,"B,S",3.5
Chokola,U.S.A.,2020,Venezuela,South America,75.0,70-80%,2,"B,S",3.75
Chokola,U.S.A.,2020,Belize,North America,70.0,60-70%,2,"B,S",3.75
Chokola,U.S.A.,2020,Madagascar,Africa,67.0,60-70%,2,"B,S",4.0
Chokola,U.S.A.,2021,Tanzania,Africa,75.0,70-80%,2,"B,S",3.5
Chokola,U.S.A.,2021,Bolivia,South America,75.0,70-80%,2,"B,S",3.75
Christophe Toury,U.S.A.,2018,Peru,South America,70.0,60-70%,2,"B,S",2.75
Christopher Elbow,U.S.A.,2018,Peru,South America,75.0,70-80%,3,"B,S,C",3.75
Christopher Elbow,U.S.A.,2019,Vietnam,Asia,72.0,70-80%,3,"B,S,C",3.0
Christopher Elbow,U.S.A.,2019,Costa Rica,North America,70.0,60-70%,3,"B,S,C",3.25
Christopher Elbow,U.S.A.,2019,Ecuador,South America,73.0,70-80%,3,"B,S,C",3.5
Christopher Elbow,U.S.A.,2019,Tanzania,Africa,72.0,70-80%,3,"B,S,C",3.5
Christopher Elbow,U.S.A.,2019,Dominican Republic,North America,72.0,70-80%,3,"B,S,C",3.75
Christopher Elbow,U.S.A.,2019,Brazil,South America,70.0,60-70%,3,"B,S,C",4.0
Chuao Chocolatier,U.S.A.,2009,Venezuela,South America,61.0,60-70%,5,"B,S,C,V,L",3.0
Chuao Chocolatier (Pralus),U.S.A.,2010,Venezuela,South America,77.0,70-80%,3,"B,S,C",2.75
Claudio Corallo,Sao Tome,2008,Blend,Other,80.0,70-80%,3,"B,S,C",3.0
Claudio Corallo,Sao Tome,2008,Blend,Other,75.0,70-80%,3,"B,S,C",3.75
Claudio Corallo,Sao Tome,2010,Blend,Other,73.5,70-80%,2,"B,S",3.75
Cleveland Chocolate Company,U.S.A.,2021,Dominican Republic,North America,70.0,60-70%,3,"B,S,C",3.5
Cleveland Chocolate Company,U.S.A.,2021,Haiti,North America,79.0,70-80%,3,"B,S,C",3.5
Cloudforest,U.S.A.,2015,Ecuador,South America,73.0,70-80%,2,"B,S",3.5
Coco,Canada,2020,Peru,South America,70.0,60-70%,3,"B,S,C",3.5
Cocoa Carib,St. Lucia,2019,St. Lucia,North America,70.0,60-70%,4,"B,S,C,V",2.25
Cocoa Forge,U.S.A.,2021,Peru,South America,68.0,60-70%,3,"B,S,C",3.0
Cocoa Forge,U.S.A.,2021,Madagascar,Africa,77.0,70-80%,2,"B,S",3.25
Cocoa Forge,U.S.A.,2021,Colombia,South America,70.0,60-70%,3,"B,S,C",3.25
Condor,U.S.A.,2015,Ecuador,South America,76.0,70-80%,2,"B,S",3.5
Confluence,U.S.A.,2016,Vietnam,Asia,78.0,70-80%,2,"B,S",2.75
Conjure,U.S.A.,2021,Philippines,Asia,70.0,60-70%,3,"B,S,C",2.5
Conjure,U.S.A.,2021,Ivory Coast,Africa,70.0,60-70%,3,"B,S,C",2.5
Conjure,U.S.A.,2021,Peru,South America,68.0,60-70%,3,"B,S,C",3.25
Conjure,U.S.A.,2021,Tanzania,Africa,75.0,70-80%,3,"B,S,C",3.5
Coppeneur,Germany,2007,Madagascar,Africa,72.0,70-80%,3,"B,S,C",3.0
Coppeneur,Germany,2008,Mexico,North America,72.0,70-80%,3,"B,S,C",3.0
